               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1405,             0.15032,            0.054356,           0.0010804,           0.0051237,          0.00049863,          0.00011053,             0.13598,             0.22351,            0.054738,             0.00202,             0.00202,             0.08182
                   1,             0.13263,             0.15359,            0.047635,              0.2101,            0.018077,           0.0043854,          0.00097782,             0.13142,             0.25253,            0.050991,           0.0040491,           0.0040491,            0.063549
                   2,             0.12503,             0.17018,            0.046283,             0.42596,            0.074731,            0.023309,            0.006039,             0.12133,              0.2577,            0.047944,           0.0060746,           0.0060746,            0.045275
                   3,             0.12073,             0.17811,            0.043494,             0.36025,             0.10237,            0.052807,              0.0168,             0.11532,             0.24798,            0.043445,           0.0080938,           0.0080938,            0.026994
                   4,             0.11738,             0.18025,            0.040596,             0.36931,             0.11178,            0.062988,            0.021045,             0.11314,             0.25608,            0.042873,           0.0099645,           0.0099645,           0.0099645
                   5,             0.11423,             0.17776,            0.038629,             0.42894,             0.12816,            0.084242,            0.031935,             0.10947,             0.25874,            0.040745,           0.0099645,           0.0099645,           0.0099645
                   6,             0.11186,             0.18022,            0.037631,             0.29936,             0.15682,            0.095356,            0.038637,             0.10699,             0.24726,            0.039416,           0.0099446,           0.0099446,           0.0099446
                   7,             0.11028,             0.17696,            0.036535,             0.40024,             0.15841,             0.10489,            0.043189,             0.10564,             0.24668,            0.038485,           0.0099203,           0.0099203,           0.0099203
                   8,               0.109,             0.17731,            0.035799,             0.44562,             0.16976,             0.11754,            0.049056,             0.10434,             0.24428,            0.038166,           0.0098916,           0.0098916,           0.0098916
                   9,             0.10778,             0.17798,            0.034898,             0.37929,             0.19162,               0.131,              0.0561,             0.10327,             0.24292,            0.037249,           0.0098586,           0.0098586,           0.0098586
                  10,             0.10689,             0.17773,            0.034679,             0.35354,             0.18631,             0.13629,            0.057715,             0.10361,             0.24365,            0.038142,           0.0098213,           0.0098213,           0.0098213
                  11,             0.10666,             0.17615,            0.034064,              0.4839,             0.18049,             0.14099,            0.062168,             0.10269,             0.24729,            0.038272,           0.0097798,           0.0097798,           0.0097798
                  12,             0.10582,             0.17611,            0.033739,             0.48474,             0.19858,              0.1538,             0.06794,             0.10155,             0.24075,            0.037077,            0.009734,            0.009734,            0.009734
